id,description,en
recordAudit.regStatus.declared,Label for registration status declared,Declaration started
recordAudit.regStatus.declared.sentNotification,Field agent sent notification,Sent notification for review
recordAudit.regStatus.issued,Label for registration status Issued,Issued
recordAudit.regStatus.registered,Label for registration status registered,Registered
recordAudit.regStatus.rejected,A label for registration status rejected,Rejected
recordAudit.regStatus.updatedDeclaration,Declaration has been updated,Updated
recordAudit.regStatus.waitingValidation,Label for registration status waitingValidation,Waiting for validation
recordAudit.registrationNo,Label for Event Registration Number,Registration No
recordAudit.rn,Label for Birth Registration Number,Registration no.
recordAudit.status,Label for status,Status
recordAudit.trackingId,Label for tracking id,Tracking ID
recordAudit.type,Label for event type,Event
regHome.archived,Label for registration status archived,Archived
regHome.certified,Label for registration status certified,Certified
regHome.inPro.selector.field.agents,The title of In progress field agents,Field agents
regHome.inPro.selector.hospital.drafts,The title of In progress Hospitals,Health System
regHome.inPro.selector.own.drafts,The title of In progress own drafts,My Drafts
regHome.inProgress,The title of In progress,In progress
regHome.issued,Label for registration status issued,Issued
regHome.outbox.failed,Label for declaration status failed,Failed to send
regHome.outbox.retry,"Copy for ""Retry"" button in Outbox shown for records that failed to send",Retry
regHome.outbox.statusArchiving,Label for application status Archiving,Archiving...
regHome.outbox.statusCertifying,Label for declaration status Certifying,Certifying...
regHome.outbox.statusIssuing,Label for declaration status Issuing,Issuing...
regHome.outbox.statusRegistering,Label for declaration status Registering,Registering...
regHome.outbox.statusReinstating,Label for application status Reinstating,Reinstating...
regHome.outbox.statusRejecting,Label for declaration status Rejecting,Sending for updates...
regHome.outbox.statusRequestingCorrection,Label for declaration status Requesting correction,Correcting...
regHome.outbox.statusSendingForApproval,Label for declaration status waiting for validate,Sending for approval...
regHome.outbox.statusSubmitting,Label for declaration status submitting,Sending...
regHome.outbox.statusWaitingToBeArchived,Label for application status waiting to be archived,Waiting to be archived
regHome.outbox.statusWaitingToBeReinstated,Label for application status waiting to be reinstated,Waiting to be reinstated
regHome.outbox.statusWaitingToCertify,Label for declaration status waiting for certify,Waiting to certify
regHome.outbox.statusWaitingToIssue,Label for declaration status waiting for certify,Waiting to issue
regHome.outbox.statusWaitingToRegister,Label for declaration status waiting for register,Waiting to register
regHome.outbox.statusWaitingToReject,Label for declaration status waiting for reject,Waiting to send for updates
regHome.outbox.statusWaitingToRequestCorrection,Label for declaration status waiting for request correction,Waiting to correct
regHome.outbox.statusWaitingToSubmit,Label for declaration status waiting for reject,Waiting to send
regHome.outbox.statusWaitingToValidate,Label for declaration status waiting for validate,Waiting to send for approval
regHome.outbox.waitingToRetry,Label for declaration status waiting for connection,Waiting to retry
regHome.readyForReview,The title of ready for review,Ready for review
regHome.readyToPrint,The title of ready to print tab,Ready to print
regHome.registrationNumber,The heading of registration no. column,Registration no.
regHome.requestedCorrection,Label for registration status requested correction,Requested correction
regHome.sentForApprovals,The title of sent for approvals tab,Sent for approval
regHome.sentForExternalValidation,The label for external validation waiting duration column,Sent for ext. validation
regHome.sentForUpdates,The title of sent for updates tab,Sent for updates
regHome.table.label,Results label at the top of the data table component,Results
regHome.table.label.action,Label for action in work queue list item,Action
regHome.table.label.declarationDate,Label for declaration date in work queue list item,Declaration sent
